grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2017/10,ABS,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7,Czech Republic",2017/ABS/03 Focal Points 2017 Air,7394,2017,Focal Points,Air Border Sector
2017/13,ABS,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV1012, Riga",2017/ABS/03 Focal Points 2017 Air,19808,2017,Focal Points,Air Border Sector
2017/17,ABS,Lithuania,State Border Guard Service Lithuania,"Savanoriou Ave. 2, Vilnius LT-03116, Lithuania",2017/ABS/03 Focal Points 2017 Air,8920,2017,Focal Points,Air Border Sector
2017/44,ABS,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131Helsinki, Finland",2017/ABS/03 Focal Points 2017 Air,8784,2017,Focal Points,Air Border Sector
2017/45,ABS,Netherlands,Royal Marechaussee,"P.O. Box 906152509 LP The Hague",2017/ABS/03 Focal Points 2017 Air,25459,2017,Focal Points,Air Border Sector
2017/54,ABS,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,UrbanizaÃ§Ã£o Cabanas Golfe, no 1,2734-506 Barcarena",2017/ABS/03 Focal Points 2017 Air,31995,2017,Focal Points,Air Border Sector
2017/114,ABS,Czech Republic,Police of the Czech Republic,"Strojnicka 27, 170 89 Praha 7,Czech Republic",2017/ABS/04 JO Focal Points 2017 Air Intermediate Managers,4629,2017,Focal Points,Air Border Sector
2017/115,ABS,Lithuania,State Border Guard Service Lithuania,"Savanoriou Ave. 2, Vilnius LT-03116, Lithuania",2017/ABS/04 JO Focal Points 2017 Air Intermediate Managers,4338,2017,Focal Points,Air Border Sector
2017/153,ABS,Estonia,Police and Border Guard Board,"PÃ¤rnu mnt 139, 15060 Tallinn,Estonia",2017/ABS/04 JO Focal Points 2017 Air Intermediate Managers,2397,2017,Focal Points,Air Border Sector
2017/154,ABS,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,UrbanizaÃ§Ã£o Cabanas Golfe, no 1,2734-506 Barcarena",2017/ABS/04 JO Focal Points 2017 Air Intermediate Managers,4592,2017,Focal Points,Air Border Sector
2017/157,ABS,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514Warszawa, Poland",2017/ABS/04 JO Focal Points 2017 Air Intermediate Managers,2649,2017,Focal Points,Air Border Sector
2017/158,ABS,Spain,Comisaría General de Extranjería y Fronteras,"C/ General Pardinas 90, 28006Madrid, Spain",2017/ABS/03 Focal Points 2017 Air,21289,2017,Focal Points,Air Border Sector
2017/170,ABS,France,Direction Central de la Police aux Frontieres,"8, rue de Penthievre, 75800 Paris,France",2017/ABS/06 JO Alexis,9077,2017,Alexis,Air Border Sector
2017/171,ABS,Belgium,Federal Police,"Kroonlaan 145A, 1050 Brussels",2017/ABS/06 JO Alexis,9309,2017,Alexis,Air Border Sector
2017/172,ABS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"29 Septemvri str. Sofia 1000,Bulgaria",2017/ABS/06 JO Alexis,18281,2017,Alexis,Air Border Sector
2017/173,ABS,Estonia,Police and Border Guard Board,"PÃ¤rnu mnt 139, 15060 Tallinn,Estonia",2017/ABS/06 JO Alexis,5443,2017,Alexis,Air Border Sector
2017/174,ABS,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV1012, Riga",2017/ABS/06 JO Alexis,8017,2017,Alexis,Air Border Sector
