grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2022/41,ECRET,Slovak Ministry of Interior,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2022/ECRET/01,9312,2022,Slovakia,European Centre for Returns,European Centre for Returns
2022/46,DMD,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2022/DMD/01 Human resources and Light technical equipment,862051,2022,Slovakia,Technical Equipment & Human Resources,Deployment Management Division
2022/150,DMD,Bureau of Border and Alien Police,"Ružinovská 1/B  812 72 Bratislava, Slovak Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",40709.12,2022,Slovakia,Human Resources,Deployment Management Division
2022/169,DMD,Bureau of Border and Alien Police,"Ružinovská 1/B  812 72 Bratislava, Slovak Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",488509.38,2022,Slovakia,Human Resources,Deployment Management Division
2022/176,FOU,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2022/FOU/01/Heavy Technical Equipment,99432,2022,Slovakia,Technical Equipment,Field Operations Unit
2022/234,ECRET,Slovak Ministry of Interior,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2022/ECRET/01,24106,2022,Slovakia,European Centre for Returns,European Centre for Returns
2022/259,DMD,Bureau of Border and Alien Police,"Ružinovská 1/B  812 72 Bratislava, Slovak Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",331372.2,2022,Slovakia,Human Resources,Deployment Management Division
2022/289,FOU,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2022/FOU/01/Heavy Technical Equipment,111657,2022,Slovakia,Technical Equipment,Field Operations Unit
2022/335,ECRET,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2022/ECRET/01,44690,2022,Slovakia,European Centre for Returns,European Centre for Returns
2021/40,ECRET,Slovak Ministry of Interior,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2021/ECRet/01,9533,2021,Slovakia,European Centre for Returns,European Centre for Returns
2021/106,FDU,Slovak Ministry of Interior,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2021/FDU/01 Human Resources and light technical equipment,449560,2021,Slovakia,Technical Equipment & Human Resources,Field Deployment Unit
